epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4605,2.10656,3.83783,2.28369,0.00537,0.78763,0.0382,0.016,1.80958,4.21901,2.29381,7e-05,7e-05,7e-05
2,23.5956,1.42542,3.49205,1.827,0.00572,0.79766,0.18006,0.10192,1.12763,3.86589,1.7876,0.000147525,0.000147525,0.000147525
3,25.156,1.19303,3.14453,1.63121,0.00832,0.87458,0.34548,0.2441,0.99866,3.7081,1.73132,0.00022241,0.00022241,0.00022241
4,26.7079,1.16945,2.88226,1.56842,0.01282,0.79766,0.29432,0.20231,1.17057,3.38889,1.78077,0.000294655,0.000294655,0.000294655
5,28.2535,1.08676,2.49215,1.52878,0.0222,0.79766,0.40127,0.29322,1.0785,2.87147,1.88762,0.00036426,0.00036426,0.00036426
6,29.7758,1.0301,2.19182,1.48763,0.23412,0.51839,0.24268,0.1586,1.13165,2.91648,1.91961,0.000431225,0.000431225,0.000431225
7,31.4426,1.04288,2.15366,1.46445,0.21677,0.32107,0.24749,0.17059,1.14203,2.54501,1.89341,0.00049555,0.00049555,0.00049555
8,32.9843,1.07958,2.03274,1.49226,0.26697,0.53512,0.29307,0.18275,1.204,2.37971,1.9874,0.000557235,0.000557235,0.000557235
9,35.4022,0.99774,1.8856,1.44136,0.25098,0.54871,0.3347,0.18676,1.16957,2.67776,1.9266,0.00061628,0.00061628,0.00061628
10,36.8936,1.01307,1.91996,1.44622,0.31674,0.42361,0.23505,0.14198,1.28894,3.30822,1.88616,0.000672685,0.000672685,0.000672685
11,38.4007,0.99873,1.81578,1.39747,0.14519,0.58361,0.24441,0.15241,1.25158,5.22225,1.80881,0.00072645,0.00072645,0.00072645
12,39.9297,0.96026,1.7813,1.37329,0.6322,0.28261,0.25654,0.17039,1.24411,4.92203,1.99663,0.000777575,0.000777575,0.000777575
13,41.4481,0.9721,1.70916,1.41381,0.62996,0.23913,0.14938,0.0744,1.33429,4.34887,1.9975,0.000802,0.000802,0.000802
14,42.9845,0.95344,1.68084,1.37096,0.52688,0.32107,0.13891,0.06305,1.37815,3.36446,2.0834,0.0007855,0.0007855,0.0007855
15,44.5249,0.99192,1.65073,1.35753,0.1793,0.23111,0.15434,0.05565,1.41702,3.70892,2.0472,0.000769,0.000769,0.000769
16,46.0653,0.92659,1.60478,1.35829,0.71309,0.28261,0.19292,0.09575,1.2841,3.18942,2.08939,0.0007525,0.0007525,0.0007525
17,47.7487,0.90991,1.51817,1.38121,0.6862,0.30435,0.20924,0.11008,1.1355,2.73926,1.78415,0.000736,0.000736,0.000736
18,49.3094,0.92177,1.51503,1.35868,0.28894,0.40803,0.21182,0.10495,1.34425,2.84722,1.93077,0.0007195,0.0007195,0.0007195
19,50.8663,0.93019,1.54652,1.3478,0.29426,0.56581,0.34559,0.21477,1.3697,2.02016,2.17807,0.000703,0.000703,0.000703
20,52.419,0.87187,1.4386,1.28497,0.4475,0.39298,0.33282,0.21078,1.18142,2.10951,1.7842,0.0006865,0.0006865,0.0006865
21,54.0426,0.82882,1.35559,1.30343,0.30715,0.62207,0.3388,0.23487,1.15714,2.21358,1.93661,0.00067,0.00067,0.00067
22,55.8016,0.93203,1.40821,1.35581,0.33228,0.44649,0.308,0.18731,1.16349,2.43018,2.02759,0.0006535,0.0006535,0.0006535
23,57.455,0.84359,1.40972,1.30258,0.7125,0.32609,0.2621,0.16271,1.29691,2.46259,1.97161,0.000637,0.000637,0.000637
24,59.2499,0.88311,1.48196,1.31588,0.19194,0.40875,0.2635,0.15902,1.18251,2.45592,1.83228,0.0006205,0.0006205,0.0006205
25,60.7959,0.88126,1.40354,1.28474,0.33033,0.50669,0.33129,0.22877,1.16416,2.18807,1.85497,0.000604,0.000604,0.000604
26,62.331,0.8738,1.36649,1.30584,0.68444,0.53385,0.45626,0.3291,0.98139,2.07116,1.65608,0.0005875,0.0005875,0.0005875
27,63.9231,0.79462,1.3154,1.32393,0.4642,0.57572,0.43901,0.32324,0.98356,1.84918,1.65188,0.000571,0.000571,0.000571
28,65.5938,0.81544,1.32931,1.26348,0.42093,0.61706,0.43052,0.32111,0.96928,1.80781,1.59213,0.0005545,0.0005545,0.0005545
29,67.1093,0.82573,1.30608,1.2919,0.52082,0.66055,0.52128,0.41057,0.91935,1.65405,1.54049,0.000538,0.000538,0.000538
30,68.6449,0.79438,1.23146,1.27904,0.50275,0.54181,0.50809,0.36186,1.03485,1.65723,1.62668,0.0005215,0.0005215,0.0005215
