epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75661,3.64335,5.15824,2.94431,0,0,0,0,4.18464,6.8605,2.74339,0,0,0
2,9.64801,3.32337,5.47772,2.74619,0,0,0,0,4.16044,6.86298,2.69909,9.835e-06,9.835e-06,9.835e-06
3,14.2909,3.79932,5.03959,2.84159,0,0,0,0,4.03699,6.91492,2.56976,1.934e-05,1.934e-05,1.934e-05
4,18.5263,3.3222,5.10682,2.60576,0,0,0,0,3.87728,7.1374,2.43075,2.8515e-05,2.8515e-05,2.8515e-05
5,23.0595,3.20121,5.49873,2.56033,0.00379,0.16667,0.00287,0.00029,3.41022,7.55769,2.2443,3.736e-05,3.736e-05,3.736e-05
6,27.3368,3.45097,5.32393,2.77456,0.00787,0.33333,0.09841,0.01968,3.31384,6.43586,2.11464,4.5875e-05,4.5875e-05,4.5875e-05
7,31.72,3.22864,5.03875,2.50521,0.00752,0.33333,0.10073,0.03299,2.83073,7.24541,1.9159,5.406e-05,5.406e-05,5.406e-05
8,36.0853,3.35989,4.90517,2.46396,0.00746,0.33333,0.13215,0.06121,2.90254,6.25571,1.80559,6.1915e-05,6.1915e-05,6.1915e-05
9,40.6841,2.968,5.02116,2.22069,0.00746,0.33333,0.16751,0.03213,3.04235,7.11812,1.85191,6.944e-05,6.944e-05,6.944e-05
10,44.9945,2.90623,4.79742,2.17885,0.00844,0.83333,0.03266,0.00711,3.48044,6.77098,1.89298,7.6635e-05,7.6635e-05,7.6635e-05
11,49.2636,2.54311,4.63108,1.9957,0.00685,0.33333,0.17268,0.02018,3.43014,6.32431,1.89507,8.35e-05,8.35e-05,8.35e-05
12,53.6567,2.47836,4.19412,1.8962,0.00733,0.83333,0.19507,0.02113,3.32308,6.22514,1.82466,9.0035e-05,9.0035e-05,9.0035e-05
13,58.1177,2.46163,4.08634,1.92196,0.00606,0.33333,0.20977,0.02585,3.29466,5.8569,1.8049,9.624e-05,9.624e-05,9.624e-05
14,62.7116,2.2036,4.04022,1.67902,0.00602,0.33333,0.22351,0.02813,3.08294,5.54871,1.78223,0.000102115,0.000102115,0.000102115
15,66.9982,2.39873,4.11861,1.8224,0.00904,0.5,0.21895,0.02937,3.04036,5.26372,1.78151,0.00010766,0.00010766,0.00010766
16,71.2441,2.34167,4.08464,1.83437,0.00882,0.5,0.21333,0.0301,2.92287,5.04234,1.75218,0.000112875,0.000112875,0.000112875
17,75.6386,2.05058,3.74323,1.6476,0.01032,1,0.2369,0.0349,2.77238,5.1518,1.61988,0.00011776,0.00011776,0.00011776
18,80.0715,2.52044,3.81095,1.8758,0.01032,1,0.2369,0.0349,2.77238,5.1518,1.61988,0.000122315,0.000122315,0.000122315
19,84.2474,2.23912,3.6714,1.73707,0.00721,0.83333,0.22767,0.03425,2.42445,5.40496,1.38431,0.00012654,0.00012654,0.00012654
20,88.3725,2.14689,3.45906,1.69919,0.00721,0.83333,0.22767,0.03425,2.42445,5.40496,1.38431,0.000130435,0.000130435,0.000130435
21,92.5245,2.19643,3.63073,1.69405,0.00742,0.83333,0.24492,0.04473,2.32795,5.24994,1.32801,0.000134,0.000134,0.000134
22,96.7289,2.00861,3.19266,1.63687,0.00742,0.83333,0.24492,0.04473,2.32795,5.24994,1.32801,0.000137235,0.000137235,0.000137235
23,101.083,2.10537,3.50516,1.65674,0.00731,0.83333,0.07642,0.03057,2.27421,5.05586,1.3371,0.00014014,0.00014014,0.00014014
24,105.321,2.02497,3.32996,1.65206,0.00731,0.83333,0.07642,0.03057,2.27421,5.05586,1.3371,0.000142715,0.000142715,0.000142715
25,109.695,2.25811,3.38964,1.74321,0.01092,1,0.3517,0.06117,2.28968,5.02069,1.32408,0.00014496,0.00014496,0.00014496
26,114.241,1.67359,3.01147,1.49306,0.01092,1,0.3517,0.06117,2.28968,5.02069,1.32408,0.000146875,0.000146875,0.000146875
27,118.814,2.11375,3.48289,1.63116,0.01165,1,0.34927,0.05274,2.26044,5.00721,1.38742,0.00014846,0.00014846,0.00014846
28,123.044,1.93758,3.15382,1.55325,0.01165,1,0.34927,0.05274,2.26044,5.00721,1.38742,0.000149715,0.000149715,0.000149715
29,127.181,1.89168,3.09594,1.5134,0.01171,1,0.14232,0.02866,2.23367,4.89193,1.64203,0.00015064,0.00015064,0.00015064
30,131.429,1.79872,2.8017,1.50209,0.01171,1,0.14232,0.02866,2.23367,4.89193,1.64203,0.000151235,0.000151235,0.000151235
31,135.856,1.78594,2.775,1.53362,0.01192,1,0.1012,0.02367,2.17217,4.61793,1.66954,0.0001515,0.0001515,0.0001515
32,140.273,1.90787,2.96347,1.41295,0.01192,1,0.1012,0.02367,2.17217,4.61793,1.66954,0.000151435,0.000151435,0.000151435
33,144.503,2.01813,2.9849,1.57916,0.01247,1,0.11239,0.03567,2.03549,4.61301,1.50358,0.00015104,0.00015104,0.00015104
